,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
40477,40478,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Books / Physical media",6,,,,,,,C++;HTML/CSS;Java;JavaScript;Node.js;SQL,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL,Microsoft SQL Server;MongoDB;MySQL,,,,,Apache Spark;Hadoop;NumPy;Pandas,Apache Spark;Flutter;Hadoop;NumPy;Pandas;TensorFlow,Git,Deno;Docker;Git;Xamarin;Yarn,Android Studio;Eclipse;IPython/Jupyter;Visual Studio Code,Android Studio;Eclipse;IPython/Jupyter;Visual Studio Code,Windows,Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Multiracial;Southeast Asian,None of the above,None of the above,Too short,Easy,
40541,40542,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,Primary/elementary school,25 - 34 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member",10,10,"Developer, front-end;Database administrator;Data or business analyst;Designer",20 to 99 employees,IDR	Indonesian rupiah,8000000.0,Monthly,HTML/CSS;JavaScript;PHP;VBA,,MariaDB;Microsoft SQL Server;MySQL;SQLite,,AWS;Google Cloud Platform;IBM Cloud or Watson,Heroku;Microsoft Azure,ASP.NET,Drupal;FastAPI,.NET Framework;Apache Spark,.NET Core / .NET 5;Cordova;Keras,Flow;Git,Unity 3D;Unreal Engine;Yarn,Notepad++;RStudio;Sublime Text;Visual Studio;Visual Studio Code,Android Studio;Atom;IPython/Jupyter;NetBeans;PHPStorm,Windows,Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual;Queer,Southeast Asian,None of the above,Prefer not to say,Too long,Neither easy nor difficult,7020.0
40938,40939,I am a developer by profession,Employed full-time,Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",10,4,"Developer, front-end;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",IDR	Indonesian rupiah,21940000.0,Monthly,C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;SQL;TypeScript,Assembly;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;R;Rust;SQL;Swift;TypeScript,DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite,DynamoDB;Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Redis,AWS;DigitalOcean,AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure,Express;jQuery;Laravel;React.js;Spring;Vue.js,Django;Express;Flask;Gatsby;Laravel;React.js;Ruby on Rails;Spring;Vue.js,.NET Framework;Qt,.NET Framework;Flutter;React Native;TensorFlow,Ansible;Docker;Git;Terraform;Yarn,Deno;Docker;Git;Kubernetes;Terraform;Unity 3D;Yarn,PHPStorm;Sublime Text;Visual Studio;Visual Studio Code;Webstorm,PHPStorm;Visual Studio;Visual Studio Code;Webstorm,MacOS,Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Neither easy nor difficult,19272.0
41239,41240,I am a student who is learning to code,"Student, full-time",Indonesia,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",7,,,,,,,PHP,C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;R;SQL,,,,,,,,,,,Android Studio;Atom;Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;Vim;Visual Studio;Visual Studio Code,PyCharm,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
41302,41303,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,8,4,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator","1,000 to 4,999 employees",IDR	Indonesian rupiah,,,HTML/CSS;Java;JavaScript;Node.js;PHP,,MariaDB;Microsoft SQL Server;MongoDB;MySQL,,,,Angular.js;Spring,,Cordova,,Git,,Android Studio;Eclipse;Notepad++;Visual Studio Code,,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Not sure,No,25-34 years old,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Appropriate in length,Neither easy nor difficult,
41315,41316,"I used to be a developer by profession, but no longer am","Independent contractor, freelancer, or self-employed",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",2,1,Student,,,,,JavaScript;PHP,JavaScript;PHP,,,,,,,,,Git,Git,PHPStorm;Visual Studio Code,PHPStorm,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,18-24 years old,Man,No,,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Easy,
41408,41409,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc)",13,8,"Developer, full-stack",2 to 9 employees,IDR	Indonesian rupiah,9275000.0,Monthly,JavaScript;PHP,Java;JavaScript,MySQL;PostgreSQL,Oracle;PostgreSQL,,,jQuery;Laravel;Vue.js,Vue.js,,,Git,Docker;Git,Visual Studio,Android Studio;Visual Studio,Linux-based,Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,25-34 years old,Man,No,,Southeast Asian,,,Appropriate in length,Easy,8148.0
41418,41419,I am a developer by profession,Employed full-time,Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,Online Forum;Online Courses or Certification;Colleague;Books / Physical media,8,4,"Developer, front-end;Developer, full-stack;Developer, back-end",10 to 19 employees,IDR	Indonesian rupiah,13000000.0,Monthly,Bash/Shell;JavaScript;PHP;Ruby;SQL,Bash/Shell;Dart;Go;JavaScript;Python;R;Ruby;SQL,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;Firebase;MariaDB;MySQL;PostgreSQL;Redis;SQLite,DigitalOcean,AWS;DigitalOcean;Google Cloud Platform,jQuery;Ruby on Rails,jQuery;React.js;Ruby on Rails;Vue.js,,,Docker;Git;Yarn,Docker;Git;Yarn,Vim;Visual Studio Code,Vim,Windows Subsystem for Linux (WSL),Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,11412.0
41431,41432,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School",6,5,"Developer, full-stack;Developer, back-end;Engineering manager",2 to 9 employees,USD	United States dollar,3500.0,Monthly,Ruby;SQL,Ruby;SQL,PostgreSQL,PostgreSQL,,,React.js;Ruby on Rails,Gatsby,,,Git,Docker;Git,Visual Studio Code,Visual Studio Code,Windows Subsystem for Linux (WSL),Visit Stack Overflow;Google it;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,42000.0
41507,41508,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,Coding Bootcamp;Online Forum;Friend or family member,Less than 1 year,2,"Developer, full-stack",20 to 99 employees,IDR	Indonesian rupiah,,Monthly,JavaScript;SQL;TypeScript,C++;Go,MySQL;PostgreSQL;Redis,,AWS;Microsoft Azure,,Express;React.js,,React Native,Flutter,Git,Kubernetes,Neovim;Visual Studio Code,,MacOS,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
41542,41543,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Online Forum;Books / Physical media,9,3,"Developer, full-stack;Developer, QA or test","1,000 to 4,999 employees",IDR	Indonesian rupiah,125000000.0,Yearly,HTML/CSS;Java;JavaScript;SQL;TypeScript,Java;Kotlin;SQL;TypeScript,Firebase;Oracle;PostgreSQL,Cassandra;Couchbase;Elasticsearch;Redis,DigitalOcean,AWS;Google Cloud Platform;Oracle Cloud Infrastructure,Angular;Express;jQuery;React.js;Spring,Express;React.js;Spring,React Native,Apache Spark;Flutter;Pandas,Docker;Git,Ansible;Docker;Git;Kubernetes;Unity 3D;Unreal Engine,Eclipse;IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,Linux-based,Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,9148.0
41562,41563,I am a developer by profession,"Not employed, but looking for work",Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague;Books / Physical media",10,,"Developer, front-end;Developer, full-stack;Designer",,,,,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;Python;SQL,MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Couchbase;Elasticsearch;Firebase;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,,,Django;Express;Flask;jQuery,Angular.js;Django;FastAPI;Flask;Gatsby;Laravel;React.js;Svelte;Vue.js,Keras,Flutter;Keras;NumPy;Pandas;React Native,Git;Unity 3D;Yarn,Docker;Git;Yarn,Atom;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PHPStorm;PyCharm;Sublime Text;Visual Studio Code;Webstorm,Sublime Text;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,Prefer not to say,Prefer not to say,Appropriate in length,Easy,
41564,41565,I code primarily as a hobby,"Not employed, and not looking for work",Indonesia,,,Primary/elementary school,11 - 17 years,Other (please specify):,1,,,,,,,HTML/CSS;JavaScript;Node.js;Python;Rust;SQL,C++;JavaScript;Node.js;Python;Rust;SQL,MySQL;PostgreSQL,MySQL;PostgreSQL,,,Flask,Angular.js;React.js;Vue.js,,,Git,Docker;Git,Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Play games;Other (please specify):,Stack Overflow,Multiple times per day,No,,"No, not at all",No,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian;East Asian,None of the above,None of the above,Appropriate in length,Easy,
41598,41599,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague",8,1,"Developer, front-end;Designer",20 to 99 employees,IDR	Indonesian rupiah,4000000.0,Monthly,HTML/CSS;JavaScript,Dart;Node.js,MySQL,,Heroku,,jQuery,Express;React.js,,,,,Visual Studio Code,Android Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games;Panic,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Easy,3516.0
41742,41743,I code primarily as a hobby,Employed part-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague;Books / Physical media",1,,Data scientist or machine learning specialist;Scientist;Educator,,,,,,,,,,,,,,,,,,,Windows,,Stack Overflow,Less than once per month or monthly,No,,Neutral,No,18-24 years old,Man,No,,I don't know,,,,,
41756,41757,I am a developer by profession,Employed full-time,Indonesia,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",10,4,"Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,IDR	Indonesian rupiah,5500000.0,Monthly,HTML/CSS;PHP;SQL,HTML/CSS;Node.js;PHP;SQL,MySQL;PostgreSQL,MySQL;PostgreSQL,AWS;DigitalOcean,AWS;DigitalOcean,jQuery;Laravel,Angular;Angular.js;jQuery;Laravel,,,Git,Git,Sublime Text,Sublime Text,Windows,Visit Stack Overflow,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,4836.0
41757,41758,I am a developer by profession,"Not employed, but looking for work",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague;Books / Physical media",6,,"Developer, full-stack;Student",,,,,HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL,Assembly;C#;C++;Java;JavaScript;Node.js;Python;SQL;TypeScript,MariaDB;MySQL;SQLite,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Redis;SQLite,,,Django;Laravel;Vue.js,Django;Express;Flask;Vue.js,Apache Spark;NumPy;Pandas;TensorFlow,.NET Framework;Apache Spark;Hadoop;Keras;NumPy;Pandas;TensorFlow,Git;Yarn,Docker;Git;Yarn,Android Studio;Eclipse;PyCharm;Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate;Panic;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Easy,
41768,41769,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School;Online Forum;Colleague;Books / Physical media,5,2,"Developer, full-stack",2 to 9 employees,IDR	Indonesian rupiah,5000000.0,Monthly,HTML/CSS;Java;JavaScript;PHP,,Microsoft SQL Server;MySQL,,Google Cloud Platform;Microsoft Azure,,jQuery;Laravel;React.js,,,,Git,,Android Studio;Visual Studio Code,Android Studio,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Easy,4392.0
